,sentence
0,"I focus on the change in the consensus forecast because, in my judgment, it is the revision in the outlook for 1999 in response to recent developments in the global economy and domestic financial markets that justified the recent easing of monetary policy."
1,Then I will conclude with a discussion of the implications of the outlook for monetary policy.
2,"The key here is to explain the rapid change in the posture of monetary policy--from a stance of asymmetric toward tightening just a few months ago, to symmetric, and then to an easing."
3,Let me emphasize that the views on the economic outlook and monetary policy I present this morning are my own.
4,"The bottom line is that you forecast a benign slowdown that unwinds some of the tightness in labor markets, while sustaining growth and maintaining modest inflation."
5,Your forecast also presumes a flexible monetary policy that responds to changing conditions and effectively promotes such an outcome.
6,"Judging from the path of the Treasury bill rate, the Blue Chip forecast assumed no change in monetary policy through 1999."
7,"So, the NABE forecast was slightly weaker, but just offset by its assumption of a policy easing, leaving the forecasts for growth over 1999 identical in both cases."
8,"More likely, it reflects the fact that during this period, there have also been continuing upside surprises with respect to domestic demand."
9,"As a result, the upward revisions to the forecast for domestic demand may have just offset downward revisions to the forecast for net exports."
10,"More recently, it also appears to reflect your confidence in monetary policy, a theme that I will return to later."
11,A soft landing is achieved if growth slows to trend just as the economy converges to potential output.
12,"In this case, growth has to slow to a below-trend rate until actual output again converges to potential, at which point growth returns to and remains at trend."
13,"The characterization of the forecast as a reverse soft landing hinges on the interpretation that the unemployment rate is initially below NAIRU and that growth slows below trend going forward, allowing the transition back toward NAIRU."
14,"While this is consistent with your estimates of NAIRU and trend growth, I was, nevertheless, surprised that your estimate of NAURU was as low as it was, 4.9%, and that your estimate of trend growth, 2.7%, was as high as it was."
15,The qualitative features of the reverse soft landing scenario in your forecast are slowing growth and rising inflation.
16,"There is a hint of stagflation in your forecast--below-trend growth and rising unemployment, on the one hand, and rising inflation on the other."
17,"It reflects, I expect, on the inflation side, both the contribution of demand pressures in the labor market, as a consequence of the initial conditions, and dissipation or even reversal of the favorable supply shocks that have been restraining inflation."
18,"A version that had slower growth and a sharper rise in the unemployment rate, but still well short of a recession, could be consistent, for example, with stable inflation, even beginning from initial conditions of very tight labor markets."
19,I focus here on the contributions from net exports and private domestic demand.
20,An external shock lowers net exports and slows GDP growth; the resulting slowdown in GDP growth then weakens domestic demand.
21,"Even though the decline in net exports was much sharper than virtually anyone expected, subtracting more than 2 percentage points from growth, the economy's average growth did not differ much from the pace over the previous year."
22,"The growth in the first half was, to be sure, unbalanced between the first and second quarters, but that was entirely due to the rise in inventory investment in the first quarter and its decline in the second."
23,The strength of domestic demand and the subtraction via net exports were very similar in both quarters.
24,The explanation for the stability of GDP growth was the surprising surge of private domestic demand that offset the sharper-than-expected decline in net exports.
25,"Private domestic demand soared to an 8% annual rate in the first half, from the robust 4 ½% rate over the previous two years."
26,This raises two questions: Why did private demand soar in the first half and why will the economy slow going forward?
27,"To be sure, recent developments have reinforced the negative outlook for the external sector and net exports will be subtracting from GDP growth going forward."
28,"But in the consensus forecast, net exports subtract less than half as much from GDP growth in the second half as in the first half and still less in 1999."
29,"Hence, the slowdown scenario now depends critically on a slowing in domestic demand."
30,"So while all eyes are focused on global turmoil and the spillover to U.S. net exports, I believe that you are correct to focus the case for slowdown ahead on diminished strength in private domestic demand."
31,"There are three key developments that, in my view, justify a downward revision for the forecast for growth in 1999."
32,"First, the further pressure on emerging market economies, especially Latin America, following the Russian default and devaluation merits a downward revision in the forecast for foreign growth and hence in U.S. net exports."
33,"Second, the correction in equity prices points to a downward revision to consumer spending and to business fixed investment and residential construction as well."
34,Phase one resulted in a powerful adverse shock to U.S. aggregate demand as a result of the decline in net exports induced by the combination of recessions and sharp depreciations in the region.
