,sentence
0,"I chose the following set: Why has the Federal Reserve tightened monetary policy now, given that economic growth has been robust for the last four years and there is no evidence that core inflation is beginning to rise?"
1,How could an increase in the underlying rate of productivity growth--an event that would appear to augur an increase in aggregate supply relative to aggregate demand--raise concerns about overheating and higher inflation?
2,"Finally, does the fact that the five recent tightenings have resulted in very little evidence of slowing in the growth of demand indicate that monetary policy is less effective today than it used to be and, if so, why?"
3,"Before proceeding, let me remind you that the interpretation of the economic outlook and the judgments about the strategy of monetary policy I am presenting here are my own views."
4,The Rationale for Monetary Policy Tightening: Why Now?
5,"The rationale for monetary policy tightening is, in my judgment, quite straightforward and flows from two assessments about the current state of the economy."
6,"First, aggregate demand has been growing faster than potential aggregate supply, even allowing for upward revisions to aggregate supply growth as a result of an acceleration in productivity."
7,"Second, the level of output is already at least at potential (in other words, the economy is already at least at full employment) and, quite possibly, the economy is operating beyond the point of sustainable capacity."
8,"But the key point is that, even though the rate of increase in nominal wages and core measures of inflation do not yet signal that inflation pressures are building, the balance of aggregate demand and sustainable supply today and the distinct possibility that labor and product markets will tighten further suggest an unacceptable risk of overheating and, therefore, higher inflation in the future."
9,"The move to tighter monetary policy, beginning in mid-1999, seeks to rebalance aggregate demand and aggregate supply."
10,"That promises to reduce the swing in interest rates that would otherwise be necessary later on and provides the best opportunity for containing inflation, extending the expansion, and yielding an overall more stable and more favorable outcome."
11,The evidence is the consistent decline in the unemployment rate.
12,"In a recent talk, I reviewed estimates of trend growth in potential output from surveys of professional forecasters and from model-based forecasting firms."
13,These estimates all fell short of the more than 4 percent average growth rate of real GDP over the past four years and the 4½ percent rate over the past two years.
14,"In the absence of an appropriate degree of tightening, I believe that this imbalance in the growth of demand and supply would persist."
15,There is somewhat greater uncertainty about whether the economy is already operating beyond full employment.
16,"Nevertheless, my survey also found that estimates of the nonaccelerating-inflation rate of unemployment (NAIRU) were consistently above the prevailing 4.1 percent unemployment rate, with estimates of the NAIRU centered close to 5 percent."
17,"To date, there is little evidence that the rate of increase in unit labor costs or core measures of consumer price inflation are rising."
18,"The core Consumer Price Index (CPI), for example, has advanced at a 2.1 percent rate over the past 12 months, only slightly above the lowest reading for this expansion."
19,This makes clear that the recent tightening of monetary policy is pre-emptive--an attempt to prevent an unacceptable rise in core inflation--not a reaction to direct evidence of rising inflation.
20,"Given the lags in monetary policy, such pre-emptive policy action is often essential to achieve favorable outcomes."
21,"Monetary policy has, nevertheless, been adapting to heightened uncertainty about the rate of growth in potential and the size of the gap between actual and potential output."
22,"But because there are still limits to how fast the economy can grow without further straining labor markets and to how low the unemployment rate can go without triggering higher inflation, there are limits to monetary policy's tolerance for above-trend growth and for further labor market tightening."
23,The unemployment rate has been falling for the last four years.
24,Core inflation remains well contained.
25,"In my view, three developments suggest a greater risk of rising inflation going forward and hence justify the timing of the recent tightening moves."
26,"First, the cumulative decline in the unemployment rate has, at the very least, pushed the economy closer to and, in my view, likely beyond the point of full employment."
27,"The immediate threat of overheating from continued above-trend growth is, therefore, much greater today than previously."
28,"Second, the growth in demand moved into a still higher gear in the second half of 1999 and recent data suggest considerable momentum in domestic demand in the first half of 2000, at the same time that the external drag from declining net exports is expected to diminish."
29,"Third, some beneficial influences on inflation are abating or reversing: The effects of the earlier favorable relative-price shocks--including the decline in non-oil import prices and the slowdown in health care costs--are now dissipating or reversing; the temporary disinflationary effect of the increase in trend productivity growth is likely to diminish, a point I will elaborate on shortly; and the recent sharp rebound in oil prices is now pushing overall inflation higher."
30,These developments give a sense of urgency to at least slowing the economy to trend growth and encourage increased vigilance in monitoring cost and price developments for signs of rising inflation.
31,Productivity Shocks: Can They Be Inflationary?
32,It has become abundantly clear that the star of the last several years has been the remarkable rebound in productivity growth.
33,"Because higher growth of productivity translates mechanically into higher growth in potential output, it might seem that, by raising aggregate supply relative to aggregate demand, higher productivity growth would make the economy less susceptible to higher inflation."
34,"So some have been puzzled by the Federal Reserve's appreciation of the importance of the increase in productivity growth, on the one hand, and the apparent concern with the threat of higher inflation, on the other hand."
35,Some have even wondered whether the Federal Reserve believes that a higher productivity trend might actually be an adverse as opposed to a favorable development.
36,Higher productivity is unambiguously good.
37,"But the monetary policy that accompanies a productivity shock, on the other hand, could be good or bad."
38,We are trying to combine the productivity shock with a monetary policy that reaps the full benefits of higher productivity growth and avoids turning what should be a favorable event into one that threatens higher inflation and greater economic instability over the longer haul.
39,"Effects on Aggregate Demand, Inflation, and Real Interest Rates To conduct such a monetary policy, we must recognize that higher productivity growth has at least three major effects on the macro economy, in addition to its effect on sustainable growth rates."
40,"It affects aggregate demand, inflation, and equilibrium real interest rates."
41,Productivity and aggregate demand.
42,Higher productivity growth has apparently increased aggregate demand through at least three channels.
43,"First, the higher trend growth in productivity likely reflects, in part, technological innovations that have, in turn, resulted in new profitable investment opportunities."
44,In this way higher productivity growth may spur an investment boom.
45,"Second, the perceived enhancement in profit opportunities has contributed to an increase in business earnings expectations and, hence, higher equity prices."
46,Higher equity prices have also reduced the cost of capital and reinforced the investment boom.
47,"Finally, to the extent that households expect higher productivity growth to continue, their perceptions of the resulting higher path for future real compensation would further boost consumer spending today."
48,The effect of increased wealth and expected future real compensation on holdings of consumer durables and other tangible assets today lead to accelerator-type effects that can be especially large contributors to aggregate demand.
49,"Potentially, these three forces are powerful enough to cause the growth in aggregate demand initially to outpace the growth in aggregate supply, in the absence of any offsetting tightening in the stance of monetary policy."
