Unnamed: 0,sentence,label,score
0,"so as i talk today about the federal reserve and our role in consumer protection, i'd like to emphasize the importance of both the availability of credit and the ability of consumers to use such credit safely to increase their own well-being in transactions that contribute to economic growth.",LABEL_0,0.5846952199935913
1,the high levels of risk posed by these products became apparent only when home prices began to fall and the rate of foreclosure increased dramatically.,LABEL_0,0.9979733228683472
2,"new practices evolved, such as charging different interest rates for different transactions and double-cycle billing, whereby lenders calculated interest based not only on the current balance, but also on the prior month's balance.",LABEL_2,0.7723967432975769
3,"but the accelerating growth rate in the subprime lending market and the fact that so many of these risky loans were bundled into securities set the stage, so that when individual borrowers failed to keep up with payments, the result was devastating to the entire market.",LABEL_0,0.7779357433319092
4,"banks, under stress from losses in their mortgage portfolios, pulled back on private-label mortgage lending and increased the prices associated with other types of lending.",LABEL_1,0.841907262802124
5,credit transactions conducted to the benefit of both borrower and lender expand economic growth.,LABEL_1,0.9902842044830322
6,access to capital to create and expand small businesses leads to job growth and benefits the larger community.,LABEL_1,0.8887779116630554
7,"for example, if, in reaction to the abuses in consumer and mortgage lending over the past few years, we were to focus solely on consumer protection policies, the result could be overly restrictive access to credit, which could threaten future economic growth.",LABEL_0,0.9785287976264954
8,"for example, the federal reserve recently banned the practice of double-cycle billing when calculating interest rates on credit cards because we found in testing that there was no reasonable way to explain the practice.",LABEL_2,0.9722374677658081
9,the success of this campaign has highlighted the demand for timely information that consumers can use.,LABEL_1,0.9877315759658813
